policy,cell_code,initial_c_rate,switch_soc_percent,post_switch_c_rate,max_cycles,policy_note
5_4C-60PER_3_6C,460653,5.4,60.0,3.6,861,standard
5_4C-70PER_3C,453240,5.4,70.0,3.0,690,standard
5_4C-70PER_3C,464881,5.4,70.0,3.0,787,standard
5_4C-80PER_5_4C,463871,5.4,80.0,5.4,558,standard
5_4C-80PER_5_4C,464002,5.4,80.0,5.4,533,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737274,5.6,19.0,4.6,1145,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737276,5.6,19.0,4.6,816,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737287,5.6,19.0,4.6,1027,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737294,5.6,19.0,4.6,1266,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737319,5.6,19.0,4.6,815,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,737390,5.6,19.0,4.6,795,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,739476,5.6,19.0,4.6,1047,standard
5_6C_19PER_4_6C_NEWSTRUCTURE,739477,5.6,19.0,4.6,1092,standard
5_6C_25PER_4_5C,460528,5.6,25.0,4.5,560,standard
5_6C_26PER_4_5C,737289,5.6,26.0,4.5,494,standard
5_6C_26PER_4_5C,737295,5.6,26.0,4.5,513,standard
5_6C_26PER_4_5C,737327,5.6,26.0,4.5,446,standard
5_6C_26PER_4_5C,737363,5.6,26.0,4.5,429,standard
5_6C_26PER_4_5C,737370,5.6,26.0,4.5,476,standard
5_6C_26PER_4_5C,739479,5.6,26.0,4.5,463,standard
5_6C_26PER_4_5C_NEWSTRUCTURE,737241,5.6,26.0,4.5,1027,standard
5_6C_26PER_4_5C_NEWSTRUCTURE,737335,5.6,26.0,4.5,1252,standard
5_6C_26PER_4_5C_NEWSTRUCTURE,739480,5.6,26.0,4.5,819,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737213,5.6,36.0,4.3,827,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737251,5.6,36.0,4.3,849,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737275,5.6,36.0,4.3,1154,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737280,5.6,36.0,4.3,1114,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737314,5.6,36.0,4.3,931,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737365,5.6,36.0,4.3,922,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,737387,5.6,36.0,4.3,857,standard
5_6C_36PER_4_3C_NEWSTRUCTURE,739495,5.6,36.0,4.3,785,standard
5_6C_38PER_4_25C,460511,5.6,38.0,4.25,502,standard
5_6C_47PER_4C,460649,5.6,47.0,4.0,487,standard
5_6C_58PER_3_5C,460627,5.6,58.0,3.5,480,standard
5_6C_5PER_4_75C,460526,5.6,5.0,4.75,530,standard
5_6C_65PER_3C,460513,5.6,65.0,3.0,452,standard
5_9C_15PER_4_6C_NEWSTRUCTURE,737320,5.9,15.0,4.6,857,standard
5_9C_15PER_4_6C_NEWSTRUCTURE,737386,5.9,15.0,4.6,875,standard
5_9C_60PER_3_1C_NEWSTRUCTURE,737279,5.9,60.0,3.1,730,standard
5_9C_60PER_3_1C_NEWSTRUCTURE,737285,5.9,60.0,3.1,1001,standard
6C-30PER_3_6C,460433,6.0,30.0,3.6,890,standard
6C-30PER_3_6C,460477,6.0,30.0,3.6,1013,standard
6C-40PER_3C,460617,6.0,40.0,3.0,853,standard
6C-40PER_3C,460630,6.0,40.0,3.0,1016,standard
6C-40PER_3_6C,460659,6.0,40.0,3.6,869,standard
6C-40PER_3_6C,463198,6.0,40.0,3.6,841,standard
6C-50PER_3C,460507,6.0,50.0,3.0,859,standard
6C-50PER_3C,460644,6.0,50.0,3.0,916,standard
6C-50PER_3_6C,460481,6.0,50.0,3.6,875,standard
6C-50PER_3_6C,460615,6.0,50.0,3.6,708,standard
6C-60PER_3C,460436,6.0,60.0,3.0,756,standard
6C-60PER_3C,460640,6.0,60.0,3.0,730,standard
6C_20PER_4_5C,460473,6.0,20.0,4.5,492,standard
6C_31PER_4_25C,460498,6.0,31.0,4.25,487,standard
6C_40PER_4C,460474,6.0,40.0,4.0,479,standard
6C_4PER_4_75C,460613,6.0,4.0,4.75,514,standard
6C_52PER_3_5C,460678,6.0,52.0,3.5,449,standard
6C_60PER_3C,460599,6.0,60.0,3.0,745,standard
6C_60PER_3C,737281,6.0,60.0,3.0,411,standard
6C_60PER_3C,737302,6.0,60.0,3.0,426,standard
7C-30PER_3_6C,460525,7.0,30.0,3.6,741,standard
7C-30PER_3_6C,460622,7.0,30.0,3.6,702,standard
7C-40PER_3C,460506,7.0,40.0,3.0,703,standard
7C-40PER_3C,460601,7.0,40.0,3.0,647,standard
7C-40PER_3_6C,453773,7.0,40.0,3.6,616,standard
7C-40PER_3_6C,460642,7.0,40.0,3.6,624,standard
8C-15PER_3_6C,460647,8.0,15.0,3.6,1050,standard
8C-15PER_3_6C,463229,8.0,15.0,3.6,965,standard
8C-25PER_3_6C,460618,8.0,25.0,3.6,701,standard
8C-25PER_3_6C,460636,8.0,25.0,3.6,650,standard
8C-35PER_3_6C,460485,8.0,35.0,3.6,615,standard
8C-35PER_3_6C,460656,8.0,35.0,3.6,598,standard
VARCHARGE_6C_100CYCLES,739483,6.0,,,423,variable_charge_no_fixed_C1(Q1)-C2
VARCHARGE_8C_100CYCLES,737290,8.0,,,280,variable_charge_no_fixed_C1(Q1)-C2
